,index,AAPL,MSFT,AMZN,TSLA
0,2020-12-11,86939786,30979440,3064695,46474974
1,2020-12-10,81312170,26467017,3030186,67083153
2,2020-12-09,115089193,32440603,4100836,71291190
3,2020-12-08,82225512,23284094,3286303,64265029
4,2020-12-07,86711990,24619997,2751316,56309709
5,2020-12-04,78260421,24666039,2913611,29401314
6,2020-12-03,78967630,25120922,2892039,42552003
7,2020-12-02,89004195,23724509,3129304,47775653
8,2020-12-01,125920963,30498026,4493554,39133346
9,2020-11-30,169410176,33064753,4063916,63003052
10,2020-11-27,46691331,14512213,2392867,37561078
11,2020-11-25,76499234,21012887,3790403,48930162
12,2020-11-24,113226248,33830438,3570889,52058771
13,2020-11-23,127959318,25683507,4708887,50260304
14,2020-11-20,73604287,22843119,3380138,32911922
15,2020-11-19,74112972,24792746,3010270,62475346
16,2020-11-18,76322111,28372789,2916836,78044024
17,2020-11-17,74270973,24154112,3444735,61188281
18,2020-11-16,91183018,24953344,3808676,26838635
19,2020-11-13,81688586,18630307,3762587,19830351
20,2020-11-12,103350674,21616115,4371208,19940500
21,2020-11-11,112294954,29440788,4366923,17357722
22,2020-11-10,138023390,44045120,6590956,30284224
23,2020-11-09,154515315,44394950,7190406,34833025
24,2020-11-06,114457922,25231895,4647330,21706014
25,2020-11-05,126387074,36080137,5789285,28414523
26,2020-11-04,138235482,42311777,6839041,32143057
27,2020-11-03,107624448,27512030,4897880,34351715
28,2020-11-02,122866899,30842163,7257350,29021118
29,2020-10-30,190573476,36980111,8396081,42587639
30,2020-10-29,146129173,31432563,6596529,22655308
31,2020-10-28,143937823,51195593,5588330,25451409
32,2020-10-27,92276772,36700325,4291047,22686506
33,2020-10-26,111850657,37111561,5901151,28239161
34,2020-10-23,82572645,18879608,3466687,33716980
35,2020-10-22,101987954,22351450,4212005,39993191
36,2020-10-21,89945980,22724906,4592736,32370461
37,2020-10-20,124423728,22753511,4509678,31656289
38,2020-10-19,120639337,27625841,5223626,36287843
39,2020-10-16,115393808,26057882,6474353,32775879
40,2020-10-15,112559219,22733064,5223448,35672354
41,2020-10-14,151062308,23451713,5828916,48045394
42,2020-10-13,262330451,28950843,5744697,34463665
43,2020-10-12,240226769,40461368,8364198,38791133
44,2020-10-09,100506865,26458047,4907871,28925656
45,2020-10-08,83477153,19925837,3174114,40421116
46,2020-10-07,96848985,25681054,4309439,43127709
47,2020-10-06,161498212,28554261,5086857,49146259
48,2020-10-05,106243839,21331561,3775332,44722786
49,2020-10-02,144711986,33154781,5613098,71430025
50,2020-10-01,116120440,27158418,4971922,50741454
51,2020-09-30,142675184,33829088,4896101,48145566
52,2020-09-29,100060526,24464472,3503398,50341404
53,2020-09-28,137672403,32004936,4224165,49719561
54,2020-09-25,149981441,29437312,4615202,67208459
55,2020-09-24,167743349,31202493,5529392,96561061
56,2020-09-23,150718671,30803780,5652665,95074176
57,2020-09-22,183055373,33517065,6948816,79580795
58,2020-09-21,195713815,39839657,6117925,109476800
59,2020-09-18,287104882,55225326,8892580,86406819
60,2020-09-17,178010968,34011257,6449050,76779163
61,2020-09-16,155026675,26372464,4531189,72546760
62,2020-09-15,184642039,21823942,4021535,97298228
63,2020-09-14,140150087,30375768,4529596,83020608
64,2020-09-11,180860325,33620073,5093982,60717459
65,2020-09-10,182274391,35461514,5330741,84930608
66,2020-09-09,176940455,45678986,5188675,79465769
67,2020-09-08,231366563,52924330,6094205,115465691
68,2020-09-04,332607163,59664072,8781754,110321885
69,2020-09-03,257599640,58400288,8161113,87596086
70,2020-09-02,200118991,34080839,3931476,96176128
71,2020-09-01,152470142,25791235,3476407,90119419
72,2020-08-31,223505733,28774156,4185885,115847020
73,2020-08-28,46907479,26292896,2896978,20081176
74,2020-08-27,38888096,57602195,4264795,23693043
75,2020-08-26,40755567,39600828,6508743,14239382
76,2020-08-25,52873947,23043696,3992842,10658893
77,2020-08-24,86484442,25460147,4666258,20063621
78,2020-08-21,84513660,36249319,3575862,21489559
79,2020-08-20,31726797,26981478,3332478,20611796
80,2020-08-19,36384502,27627561,4185137,12205331
81,2020-08-18,26408385,21336167,5345974,16474491
82,2020-08-17,29431414,20063496,2675890,20023104
83,2020-08-14,41391302,17958936,2751723,12577614
84,2020-08-13,52520516,22588870,3149043,20425308
85,2020-08-12,41486205,28041364,3527229,21898834
86,2020-08-11,46975594,36446459,3718057,8625834
87,2020-08-10,53100856,36716462,3167274,7522264
88,2020-08-07,49511403,27820421,3936127,8896420
89,2020-08-06,50607225,32656843,3940602,5992313
90,2020-08-05,30497988,28858621,3930025,4978015
91,2020-08-04,43198092,49280056,4694294,8414990
92,2020-08-03,77037847,78983009,5074663,8809346
93,2020-07-31,93573867,51247969,8083369,12246960
94,2020-07-30,39532505,25079596,6128265,7621039
95,2020-07-29,22582314,19632602,2974060,9426893
96,2020-07-28,25906375,23251388,3126651,15808700
97,2020-07-27,30303548,30160867,4170492,16048669
98,2020-07-24,46359716,39826989,5632413,19396616
99,2020-07-23,49251108,67457035,5656906,24328504
