,index,Company,Adj Close
0,2020-12-11,AAPL,122.41
1,2020-12-10,AAPL,123.24
2,2020-12-09,AAPL,121.78
3,2020-12-08,AAPL,124.38
4,2020-12-07,AAPL,123.75
5,2020-12-04,AAPL,122.25
6,2020-12-03,AAPL,122.94
7,2020-12-02,AAPL,123.08
8,2020-12-01,AAPL,122.72
9,2020-11-30,AAPL,119.05
10,2020-11-27,AAPL,116.59
11,2020-11-25,AAPL,116.03
12,2020-11-24,AAPL,115.17
13,2020-11-23,AAPL,113.85
14,2020-11-20,AAPL,117.34
15,2020-11-19,AAPL,118.64
16,2020-11-18,AAPL,118.03
17,2020-11-17,AAPL,119.39
18,2020-11-16,AAPL,120.3
19,2020-11-13,AAPL,119.26
20,2020-11-12,AAPL,119.21
21,2020-11-11,AAPL,119.49
22,2020-11-10,AAPL,115.97
23,2020-11-09,AAPL,116.32
24,2020-11-06,AAPL,118.69
25,2020-11-05,AAPL,118.824767232
26,2020-11-04,AAPL,114.75180201
27,2020-11-03,AAPL,110.249578199
28,2020-11-02,AAPL,108.582457631
29,2020-10-30,AAPL,108.672302452
30,2020-10-29,AAPL,115.121164052
31,2020-10-28,AAPL,111.008267799
32,2020-10-27,AAPL,116.398957063
33,2020-10-26,AAPL,114.851629589
34,2020-10-23,AAPL,114.841646831
35,2020-10-22,AAPL,115.550422642
36,2020-10-21,AAPL,116.668491526
37,2020-10-20,AAPL,117.307388031
38,2020-10-19,AAPL,115.780026073
39,2020-10-16,AAPL,118.814784474
40,2020-10-15,AAPL,120.501870558
41,2020-10-14,AAPL,120.981042937
42,2020-10-13,AAPL,120.891198116
43,2020-10-12,AAPL,124.185508222
44,2020-10-09,AAPL,116.768319105
45,2020-10-08,AAPL,114.771767526
46,2020-10-07,AAPL,114.881577863
47,2020-10-06,AAPL,112.964888347
48,2020-10-05,AAPL,116.299129484
49,2020-10-02,AAPL,112.825129736
50,2020-10-01,AAPL,116.588629463
51,2020-09-30,AAPL,115.610319189
52,2020-09-29,AAPL,113.893284831
