,AAPL,MSFT,AMZN,TSLA,AAPL_returns,MSFT_returns,AMZN_returns,TSLA_returns
2020-12-11,122.41,213.26,3116.42,609.99,-0.6734826355079506,1.3015390461713758,0.48138152952291613,-2.723778844467131
2020-12-10,123.24,210.52,3101.49,627.07,1.198883232057804,-0.6043437204910298,-0.0873010759616016,3.737096347273695
2020-12-09,121.78,211.8,3104.2,604.48,-2.090368226402954,-1.9489838433405768,-2.3003880665598717,-6.9859050901704896
2020-12-08,124.38,216.01,3177.29,649.88,0.5090909090909054,0.8026506136543932,0.6108296390120318,1.2652705061082032
2020-12-07,123.75,214.29,3158.0,641.76,1.2269938650306749,-0.032655346146679226,-0.14481847099519782,7.131410256410262
2020-12-04,122.25,214.36,3162.58,599.04,-0.5612493899463135,0.056011949215834834,-0.7578301268071062,0.9538575617647995
2020-12-03,122.94,214.24,3186.73,593.38,-0.11374715632109245,-0.5246784603240913,-0.5244214975355367,4.317710347737411
2020-12-02,123.08,215.37,3203.53,568.82,0.29335071707953014,-0.38851116969613037,-0.5139623860276679,-2.725904644640526
2020-12-01,122.72,216.21,3220.08,584.76,3.0827383452330968,0.9996730041575255,1.642656027070364,3.0232558139534826
2020-11-30,119.05,214.07,3168.04,567.6,2.1099579723818453,-0.5389583236537642,-0.8543691751112614,-3.1002458344714503
2020-11-27,116.59,215.23,3195.34,585.76,0.4826338016030356,0.6359003132744121,0.3224418929568261,2.0487804878048763
2020-11-25,116.03,213.87,3185.07,574.0,0.7467222366935828,0.004675956233045405,2.1490927050794477,3.352659440383162
2020-11-24,115.17,213.86,3118.06,555.38,1.1594202898550792,1.7847794012660032,0.6348458392907308,6.425217974513743
2020-11-23,113.85,210.11,3098.39,521.85,-2.9742628259758046,-0.133086173297197,-0.032586952313358016,6.5848328261269184
2020-11-20,117.34,210.39,3099.4,489.61,-1.0957518543492897,-0.9556538932303932,-0.5652835079659383,-1.9348248442726317
2020-11-19,118.64,212.42,3117.02,499.27,0.516817758197068,0.6348303960583547,0.37224758972905614,2.5953476902843984
2020-11-18,118.03,211.08,3105.46,486.64,-1.1391238797219194,-1.3149305233875157,-0.9631146233966634,10.196779964221818
2020-11-17,119.39,213.892538273,3135.66,441.61,-0.7564422277639207,-1.2751461581412828,0.1469151022337454,8.213874390453096
2020-11-16,120.3,216.655208845,3131.06,408.09,0.8720442730169311,0.3325481501571598,0.07191232449397694,-0.10036719706242962
