,index,Company,Price,Adj Close,low Price,High Price,Volume,returns
0,2020-12-11,AAPL,122.41,122.41,120.55,122.76,86939786,-0.6734826355079506
1,2020-12-10,AAPL,123.24,123.24,120.15,123.87,81312170,1.198883232057804
2,2020-12-09,AAPL,121.78,121.78,121.0,125.95,115089193,-2.090368226402954
3,2020-12-08,AAPL,124.38,124.38,123.09,124.98,82225512,0.5090909090909054
4,2020-12-07,AAPL,123.75,123.75,122.25,124.57,86711990,1.2269938650306749
5,2020-12-04,AAPL,122.25,122.25,121.52,122.8608,78260421,-0.5612493899463135
6,2020-12-03,AAPL,122.94,122.94,122.21,123.78,78967630,-0.11374715632109245
7,2020-12-02,AAPL,123.08,123.08,120.89,123.37,89004195,0.29335071707953014
8,2020-12-01,AAPL,122.72,122.72,120.01,123.4693,125920963,3.0827383452330968
9,2020-11-30,AAPL,119.05,119.05,116.81,120.97,169410176,2.1099579723818453
10,2020-11-27,AAPL,116.59,116.59,116.22,117.49,46691331,0.4826338016030356
11,2020-11-25,AAPL,116.03,116.03,115.17,116.75,76499234,0.7467222366935828
12,2020-11-24,AAPL,115.17,115.17,112.59,115.85,113226248,1.1594202898550792
13,2020-11-23,AAPL,113.85,113.85,113.75,117.6202,127959318,-2.9742628259758046
14,2020-11-20,AAPL,117.34,117.34,117.29,118.77,73604287,-1.0957518543492897
15,2020-11-19,AAPL,118.64,118.64,116.81,119.06,74112972,0.516817758197068
16,2020-11-18,AAPL,118.03,118.03,118.0,119.82,76322111,-1.1391238797219194
17,2020-11-17,AAPL,119.39,119.39,118.96,120.6741,74270973,-0.7564422277639207
18,2020-11-16,AAPL,120.3,120.3,118.146,120.99,91183018,0.8720442730169311
19,2020-11-13,AAPL,119.26,119.26,117.87,119.6717,81688586,0.04194279003440263
20,2020-11-12,AAPL,119.21,119.21,118.57,120.53,103350674,-0.23432923257176427
21,2020-11-11,AAPL,119.49,119.49,116.44,119.63,112294954,3.035267741657322
22,2020-11-10,AAPL,115.97,115.97,114.13,117.59,138023390,-0.30089408528197586
23,2020-11-09,AAPL,116.32,116.32,116.05,121.99,154515315,-1.996798382340555
24,2020-11-06,AAPL,118.69,118.69,116.13,119.2,114457922,-0.1134167860281929
25,2020-11-05,AAPL,118.82476723200001,118.82476723200001,116.8686,119.62,126387074,3.5493692915123636
26,2020-11-04,AAPL,114.75180201,114.75180201,112.35,115.59,138235482,4.0836653387222155
27,2020-11-03,AAPL,110.249578199,110.249578199,108.73,111.49,107624448,1.5353498201941995
28,2020-11-02,AAPL,108.582457631,108.582457631,107.32,110.68,122866899,-0.08267499535099847
29,2020-10-30,AAPL,108.67230245200001,108.67230245200001,107.72,111.99,190573476,-5.601803676244154
30,2020-10-29,AAPL,115.12116405200001,115.12116405200001,112.2,116.93,146129173,3.7050359712369705
31,2020-10-28,AAPL,111.008267799,111.008267799,111.1,115.43,143937823,-4.631217839075942
32,2020-10-27,AAPL,116.398957063,116.398957063,114.5399,117.28,92276772,1.3472403304482115
