,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-12-11,122.43,122.76,120.55,122.41,122.41,86939786,0.0000,1.0,210.05,213.32,209.11,213.26,213.26,30979440,0.0000,1.0,3096.66,3118.67,3072.82,3116.42,3116.42,3064695,0.0000,1.0,615.01,624.0,596.8,609.99,609.99,46474974,0.0000,1.0
2020-12-10,120.5,123.87,120.15,123.24,123.24,81312170,0.0000,1.0,211.77,213.08,210.36,210.52,210.52,26467017,0.0000,1.0,3088.99,3142.1,3076.0,3101.49,3101.49,3030186,0.0000,1.0,574.37,627.75,566.34,627.07,627.07,67083153,0.0000,1.0
2020-12-09,124.53,125.95,121.0,121.78,121.78,115089193,0.0000,1.0,215.16,215.225,211.214,211.8,211.8,32440603,0.0000,1.0,3167.89,3174.43,3088.0,3104.2,3104.2,4100836,0.0000,1.0,653.69,654.32,588.0,604.48,604.48,71291190,0.0000,1.0
2020-12-08,124.37,124.98,123.09,124.38,124.38,82225512,0.0000,1.0,213.97,216.95,212.89,216.01,216.01,23284094,0.0000,1.0,3158.9,3184.13,3120.02,3177.29,3177.29,3286303,0.0000,1.0,625.505,651.28,618.5,649.88,649.88,64265029,0.0000,1.0
2020-12-07,122.31,124.57,122.25,123.75,123.75,86711990,0.0000,1.0,214.37,215.54,212.99,214.29,214.29,24619997,0.0000,1.0,3156.48,3180.76,3141.69,3158.0,3158.0,2751316,0.0000,1.0,604.9197,648.7856,603.05,641.76,641.76,56309709,0.0000,1.0
2020-12-04,122.6,122.8608,121.52,122.25,122.25,78260421,0.0000,1.0,214.22,215.38,213.18,214.36,214.36,24666039,0.0000,1.0,3198.21,3198.21,3158.76,3162.58,3162.58,2913611,0.0000,1.0,591.01,599.04,585.5,599.04,599.04,29401314,0.0000,1.0
2020-12-03,123.52,123.78,122.21,122.94,122.94,78967630,0.0000,1.0,214.61,216.3757,213.65,214.24,214.24,25120922,0.0000,1.0,3205.46,3228.64,3181.31,3186.73,3186.73,2892039,0.0000,1.0,590.02,598.97,582.43,593.38,593.38,42552003,0.0000,1.0
2020-12-02,122.02,123.37,120.89,123.08,123.08,89004195,0.0000,1.0,214.88,215.47,212.8,215.37,215.37,23724509,0.0000,1.0,3221.65,3232.0,3173.2601,3203.53,3203.53,3129304,0.0000,1.0,556.44,571.54,541.21,568.82,568.82,47775653,0.0000,1.0
2020-12-01,121.01,123.4693,120.01,122.72,122.72,125920963,0.0000,1.0,214.51,217.32,213.35,216.21,216.21,30498026,0.0000,1.0,3188.5,3248.95,3157.18,3220.08,3220.08,4493554,0.0000,1.0,597.59,597.85,572.05,584.76,584.76,39133346,0.0000,1.0
2020-11-30,116.97,120.97,116.81,119.05,119.05,169410176,0.0000,1.0,214.1,214.76,210.835,214.07,214.07,33064753,0.0000,1.0,3208.48,3228.39,3125.55,3168.04,3168.04,4063916,0.0000,1.0,602.21,607.8,554.51,567.6,567.6,63003052,0.0000,1.0
2020-11-27,116.57,117.49,116.22,116.59,116.59,46691331,0.0000,1.0,214.85,216.27,214.04,215.23,215.23,14512213,0.0000,1.0,3211.26,3216.19,3190.05,3195.34,3195.34,2392867,0.0000,1.0,581.16,598.78,578.45,585.76,585.76,37561078,0.0000,1.0
2020-11-25,115.55,116.75,115.17,116.03,116.03,76499234,0.0000,1.0,215.11,215.29,212.46,213.87,213.87,21012887,0.0000,1.0,3141.87,3198.0,3140.26,3185.07,3185.07,3790403,0.0000,1.0,550.06,574.0,545.37,574.0,574.0,48930162,0.0000,1.0
2020-11-24,113.91,115.85,112.59,115.17,115.17,113226248,0.0000,1.0,209.59,214.25,208.86,213.86,213.86,33830438,0.0000,1.0,3100.5,3134.25,3086.258,3118.06,3118.06,3570889,0.0000,1.0,540.4,559.99,526.2,555.38,555.38,52058771,0.0000,1.0
2020-11-23,117.18,117.6202,113.75,113.85,113.85,127959318,0.0000,1.0,210.95,212.29,208.16,210.11,210.11,25683507,0.0000,1.0,3116.6986,3139.745,3065.46,3098.39,3098.39,4708887,0.0000,1.0,503.5,526.0,501.79,521.85,521.85,50260304,0.0000,1.0
2020-11-20,118.64,118.77,117.29,117.34,117.34,73604287,0.0000,1.0,212.2,213.285,210.0,210.39,210.39,22843119,0.0000,1.0,3117.02,3132.89,3098.0456,3099.4,3099.4,3380138,0.0000,1.0,497.99,502.5,489.06,489.61,489.61,32911922,0.0000,1.0
2020-11-19,117.59,119.06,116.81,118.64,118.64,74112972,0.0000,1.0,211.38,213.03,209.93,212.42,212.42,24792746,0.0000,1.0,3105.31,3125.0,3080.92,3117.02,3117.02,3010270,0.0000,1.0,492.0,508.6112,487.57,499.27,499.27,62475346,0.0000,1.0
2020-11-18,118.61,119.82,118.0,118.03,118.03,76322111,0.0000,1.0,213.65,215.17,210.93,211.08,211.08,28372789,0.5600,1.0,3134.0,3140.0,3105.1,3105.46,3105.46,2916836,0.0000,1.0,448.35,496.0,443.5001,486.64,486.64,78044024,0.0000,1.0
2020-11-17,119.55,120.6741,118.96,119.39,119.39,74270973,0.0000,1.0,216.1,217.68,214.08,214.46,213.892538273,24154112,0.0000,1.0,3183.5445,3189.25,3135.26,3135.66,3135.66,3444735,0.0000,1.0,460.17,462.0,433.01,441.61,441.61,61188281,0.0000,1.0
