,index,Company,High Price
0,2020-12-11,AAPL,122.76
1,2020-12-10,AAPL,123.87
2,2020-12-09,AAPL,125.95
3,2020-12-08,AAPL,124.98
4,2020-12-07,AAPL,124.57
5,2020-12-04,AAPL,122.8608
6,2020-12-03,AAPL,123.78
7,2020-12-02,AAPL,123.37
8,2020-12-01,AAPL,123.4693
9,2020-11-30,AAPL,120.97
10,2020-11-27,AAPL,117.49
11,2020-11-25,AAPL,116.75
12,2020-11-24,AAPL,115.85
13,2020-11-23,AAPL,117.6202
14,2020-11-20,AAPL,118.77
15,2020-11-19,AAPL,119.06
16,2020-11-18,AAPL,119.82
17,2020-11-17,AAPL,120.6741
18,2020-11-16,AAPL,120.99
19,2020-11-13,AAPL,119.6717
20,2020-11-12,AAPL,120.53
21,2020-11-11,AAPL,119.63
22,2020-11-10,AAPL,117.59
23,2020-11-09,AAPL,121.99
24,2020-11-06,AAPL,119.2
25,2020-11-05,AAPL,119.62
26,2020-11-04,AAPL,115.59
27,2020-11-03,AAPL,111.49
28,2020-11-02,AAPL,110.68
29,2020-10-30,AAPL,111.99
30,2020-10-29,AAPL,116.93
31,2020-10-28,AAPL,115.43
32,2020-10-27,AAPL,117.28
33,2020-10-26,AAPL,116.55
34,2020-10-23,AAPL,116.55
35,2020-10-22,AAPL,118.04
36,2020-10-21,AAPL,118.705
37,2020-10-20,AAPL,118.98
38,2020-10-19,AAPL,120.419
39,2020-10-16,AAPL,121.548
40,2020-10-15,AAPL,121.2
41,2020-10-14,AAPL,123.03
42,2020-10-13,AAPL,125.39
43,2020-10-12,AAPL,125.18
44,2020-10-09,AAPL,117.0
45,2020-10-08,AAPL,116.4
46,2020-10-07,AAPL,115.55
47,2020-10-06,AAPL,116.12
48,2020-10-05,AAPL,116.65
49,2020-10-02,AAPL,115.37
50,2020-10-01,AAPL,117.72
51,2020-09-30,AAPL,117.26
52,2020-09-29,AAPL,115.31
53,2020-09-28,AAPL,115.32
54,2020-09-25,AAPL,112.44
55,2020-09-24,AAPL,110.25
56,2020-09-23,AAPL,112.11
57,2020-09-22,AAPL,112.86
58,2020-09-21,AAPL,110.19
59,2020-09-18,AAPL,110.88
60,2020-09-17,AAPL,112.2
61,2020-09-16,AAPL,116.0
62,2020-09-15,AAPL,118.829
63,2020-09-14,AAPL,115.93
64,2020-09-11,AAPL,115.23
65,2020-09-10,AAPL,120.5
66,2020-09-09,AAPL,119.14
67,2020-09-08,AAPL,118.99
68,2020-09-04,AAPL,123.7
69,2020-09-03,AAPL,128.84
70,2020-09-02,AAPL,137.98
71,2020-09-01,AAPL,134.8
72,2020-08-31,AAPL,131.0
73,2020-08-28,AAPL,505.77
74,2020-08-27,AAPL,509.94
75,2020-08-26,AAPL,507.97
76,2020-08-25,AAPL,500.7172
77,2020-08-24,AAPL,515.14
78,2020-08-21,AAPL,499.472
79,2020-08-20,AAPL,473.568
80,2020-08-19,AAPL,468.65
81,2020-08-18,AAPL,464.0
82,2020-08-17,AAPL,464.35
83,2020-08-14,AAPL,460.0
84,2020-08-13,AAPL,464.17
85,2020-08-12,AAPL,453.1
86,2020-08-11,AAPL,449.93
87,2020-08-10,AAPL,455.1
88,2020-08-07,AAPL,454.7
89,2020-08-06,AAPL,457.65
90,2020-08-05,AAPL,441.57
91,2020-08-04,AAPL,443.16
92,2020-08-03,AAPL,446.5457
93,2020-07-31,AAPL,425.66
94,2020-07-30,AAPL,385.19
95,2020-07-29,AAPL,380.92
96,2020-07-28,AAPL,378.1986
97,2020-07-27,AAPL,379.62
98,2020-07-24,AAPL,371.88
99,2020-07-23,AAPL,388.31
100,2020-12-11,MSFT,213.32
101,2020-12-10,MSFT,213.08
102,2020-12-09,MSFT,215.225
103,2020-12-08,MSFT,216.95
104,2020-12-07,MSFT,215.54
105,2020-12-04,MSFT,215.38
106,2020-12-03,MSFT,216.3757
107,2020-12-02,MSFT,215.47
108,2020-12-01,MSFT,217.32
109,2020-11-30,MSFT,214.76
110,2020-11-27,MSFT,216.27
111,2020-11-25,MSFT,215.29
112,2020-11-24,MSFT,214.25
113,2020-11-23,MSFT,212.29
114,2020-11-20,MSFT,213.285
115,2020-11-19,MSFT,213.03
116,2020-11-18,MSFT,215.17
117,2020-11-17,MSFT,217.68
118,2020-11-16,MSFT,217.74
119,2020-11-13,MSFT,217.42
120,2020-11-12,MSFT,219.11
121,2020-11-11,MSFT,218.04
122,2020-11-10,MSFT,216.5
123,2020-11-09,MSFT,228.12
124,2020-11-06,MSFT,224.36
125,2020-11-05,MSFT,224.12
126,2020-11-04,MSFT,218.32
127,2020-11-03,MSFT,208.12
128,2020-11-02,MSFT,205.28
129,2020-10-30,MSFT,204.29
130,2020-10-29,MSFT,207.36
131,2020-10-28,MSFT,208.84
