,index,Company,low Price
0,2020-12-11,AAPL,120.55
1,2020-12-10,AAPL,120.15
2,2020-12-09,AAPL,121.0
3,2020-12-08,AAPL,123.09
4,2020-12-07,AAPL,122.25
5,2020-12-04,AAPL,121.52
6,2020-12-03,AAPL,122.21
7,2020-12-02,AAPL,120.89
8,2020-12-01,AAPL,120.01
9,2020-11-30,AAPL,116.81
10,2020-11-27,AAPL,116.22
11,2020-11-25,AAPL,115.17
12,2020-11-24,AAPL,112.59
13,2020-11-23,AAPL,113.75
14,2020-11-20,AAPL,117.29
15,2020-11-19,AAPL,116.81
16,2020-11-18,AAPL,118.0
17,2020-11-17,AAPL,118.96
18,2020-11-16,AAPL,118.146
19,2020-11-13,AAPL,117.87
20,2020-11-12,AAPL,118.57
21,2020-11-11,AAPL,116.44
22,2020-11-10,AAPL,114.13
23,2020-11-09,AAPL,116.05
24,2020-11-06,AAPL,116.13
25,2020-11-05,AAPL,116.8686
26,2020-11-04,AAPL,112.35
27,2020-11-03,AAPL,108.73
28,2020-11-02,AAPL,107.32
29,2020-10-30,AAPL,107.72
30,2020-10-29,AAPL,112.2
31,2020-10-28,AAPL,111.1
32,2020-10-27,AAPL,114.5399
33,2020-10-26,AAPL,112.88
34,2020-10-23,AAPL,114.28
35,2020-10-22,AAPL,114.59
36,2020-10-21,AAPL,116.45
37,2020-10-20,AAPL,115.63
38,2020-10-19,AAPL,115.66
39,2020-10-16,AAPL,118.81
40,2020-10-15,AAPL,118.15
41,2020-10-14,AAPL,119.62
42,2020-10-13,AAPL,119.65
43,2020-10-12,AAPL,119.2845
44,2020-10-09,AAPL,114.92
45,2020-10-08,AAPL,114.5901
46,2020-10-07,AAPL,114.13
47,2020-10-06,AAPL,112.25
48,2020-10-05,AAPL,113.55
49,2020-10-02,AAPL,112.22
50,2020-10-01,AAPL,115.83
51,2020-09-30,AAPL,113.62
52,2020-09-29,AAPL,113.57
53,2020-09-28,AAPL,112.78
54,2020-09-25,AAPL,107.67
55,2020-09-24,AAPL,105.0
56,2020-09-23,AAPL,106.77
57,2020-09-22,AAPL,109.16
58,2020-09-21,AAPL,103.1
59,2020-09-18,AAPL,106.09
60,2020-09-17,AAPL,108.71
61,2020-09-16,AAPL,112.04
62,2020-09-15,AAPL,113.61
63,2020-09-14,AAPL,112.8
64,2020-09-11,AAPL,110.0
65,2020-09-10,AAPL,112.5
66,2020-09-09,AAPL,115.26
67,2020-09-08,AAPL,112.68
68,2020-09-04,AAPL,110.89
69,2020-09-03,AAPL,120.5
70,2020-09-02,AAPL,127.0
71,2020-09-01,AAPL,130.53
72,2020-08-31,AAPL,126.0
73,2020-08-28,AAPL,498.31
74,2020-08-27,AAPL,495.33
75,2020-08-26,AAPL,500.33
76,2020-08-25,AAPL,492.21
77,2020-08-24,AAPL,495.745
78,2020-08-21,AAPL,477.0
79,2020-08-20,AAPL,462.9335
80,2020-08-19,AAPL,462.44
81,2020-08-18,AAPL,456.03
82,2020-08-17,AAPL,455.8501
83,2020-08-14,AAPL,452.18
84,2020-08-13,AAPL,455.71
85,2020-08-12,AAPL,441.19
86,2020-08-11,AAPL,436.4267
87,2020-08-10,AAPL,440.0
88,2020-08-07,AAPL,441.17
89,2020-08-06,AAPL,439.19
90,2020-08-05,AAPL,435.59
91,2020-08-04,AAPL,433.55
92,2020-08-03,AAPL,431.57
93,2020-07-31,AAPL,403.3
94,2020-07-30,AAPL,375.07
95,2020-07-29,AAPL,374.85
96,2020-07-28,AAPL,372.99
97,2020-07-27,AAPL,373.92
98,2020-07-24,AAPL,356.58
99,2020-07-23,AAPL,368.039
100,2020-12-11,MSFT,209.11
101,2020-12-10,MSFT,210.36
102,2020-12-09,MSFT,211.214
103,2020-12-08,MSFT,212.89
104,2020-12-07,MSFT,212.99
105,2020-12-04,MSFT,213.18
106,2020-12-03,MSFT,213.65
107,2020-12-02,MSFT,212.8
108,2020-12-01,MSFT,213.35
109,2020-11-30,MSFT,210.835
110,2020-11-27,MSFT,214.04
111,2020-11-25,MSFT,212.46
112,2020-11-24,MSFT,208.86
113,2020-11-23,MSFT,208.16
114,2020-11-20,MSFT,210.0
115,2020-11-19,MSFT,209.93
116,2020-11-18,MSFT,210.93
117,2020-11-17,MSFT,214.08
118,2020-11-16,MSFT,214.52
119,2020-11-13,MSFT,214.16
120,2020-11-12,MSFT,214.46
121,2020-11-11,MSFT,212.2
122,2020-11-10,MSFT,209.72
123,2020-11-09,MSFT,217.88
124,2020-11-06,MSFT,218.03
125,2020-11-05,MSFT,221.15
126,2020-11-04,MSFT,212.4185
127,2020-11-03,MSFT,203.12
128,2020-11-02,MSFT,200.12
129,2020-10-30,MSFT,199.62
130,2020-10-29,MSFT,203.37
131,2020-10-28,MSFT,202.1
132,2020-10-27,MSFT,210.329
133,2020-10-26,MSFT,208.1
134,2020-10-23,MSFT,213.16
135,2020-10-22,MSFT,211.7
136,2020-10-21,MSFT,213.12
137,2020-10-20,MSFT,213.0901
138,2020-10-19,MSFT,213.72
139,2020-10-16,MSFT,219.32
140,2020-10-15,MSFT,216.01
141,2020-10-14,MSFT,219.13
142,2020-10-13,MSFT,220.43
143,2020-10-12,MSFT,216.81
144,2020-10-09,MSFT,211.23
145,2020-10-08,MSFT,208.32
