,index,Company,Volume
0,2020-12-11,AAPL,86939786
1,2020-12-10,AAPL,81312170
2,2020-12-09,AAPL,115089193
3,2020-12-08,AAPL,82225512
4,2020-12-07,AAPL,86711990
5,2020-12-04,AAPL,78260421
6,2020-12-03,AAPL,78967630
7,2020-12-02,AAPL,89004195
8,2020-12-01,AAPL,125920963
9,2020-11-30,AAPL,169410176
10,2020-11-27,AAPL,46691331
11,2020-11-25,AAPL,76499234
12,2020-11-24,AAPL,113226248
13,2020-11-23,AAPL,127959318
14,2020-11-20,AAPL,73604287
15,2020-11-19,AAPL,74112972
16,2020-11-18,AAPL,76322111
17,2020-11-17,AAPL,74270973
18,2020-11-16,AAPL,91183018
19,2020-11-13,AAPL,81688586
20,2020-11-12,AAPL,103350674
21,2020-11-11,AAPL,112294954
22,2020-11-10,AAPL,138023390
23,2020-11-09,AAPL,154515315
24,2020-11-06,AAPL,114457922
25,2020-11-05,AAPL,126387074
26,2020-11-04,AAPL,138235482
27,2020-11-03,AAPL,107624448
28,2020-11-02,AAPL,122866899
29,2020-10-30,AAPL,190573476
30,2020-10-29,AAPL,146129173
31,2020-10-28,AAPL,143937823
32,2020-10-27,AAPL,92276772
33,2020-10-26,AAPL,111850657
34,2020-10-23,AAPL,82572645
35,2020-10-22,AAPL,101987954
36,2020-10-21,AAPL,89945980
37,2020-10-20,AAPL,124423728
38,2020-10-19,AAPL,120639337
39,2020-10-16,AAPL,115393808
40,2020-10-15,AAPL,112559219
41,2020-10-14,AAPL,151062308
42,2020-10-13,AAPL,262330451
43,2020-10-12,AAPL,240226769
44,2020-10-09,AAPL,100506865
45,2020-10-08,AAPL,83477153
46,2020-10-07,AAPL,96848985
47,2020-10-06,AAPL,161498212
48,2020-10-05,AAPL,106243839
49,2020-10-02,AAPL,144711986
50,2020-10-01,AAPL,116120440
51,2020-09-30,AAPL,142675184
52,2020-09-29,AAPL,100060526
53,2020-09-28,AAPL,137672403
54,2020-09-25,AAPL,149981441
55,2020-09-24,AAPL,167743349
56,2020-09-23,AAPL,150718671
57,2020-09-22,AAPL,183055373
58,2020-09-21,AAPL,195713815
59,2020-09-18,AAPL,287104882
60,2020-09-17,AAPL,178010968
61,2020-09-16,AAPL,155026675
62,2020-09-15,AAPL,184642039
63,2020-09-14,AAPL,140150087
64,2020-09-11,AAPL,180860325
65,2020-09-10,AAPL,182274391
66,2020-09-09,AAPL,176940455
67,2020-09-08,AAPL,231366563
68,2020-09-04,AAPL,332607163
69,2020-09-03,AAPL,257599640
70,2020-09-02,AAPL,200118991
71,2020-09-01,AAPL,152470142
72,2020-08-31,AAPL,223505733
73,2020-08-28,AAPL,46907479
74,2020-08-27,AAPL,38888096
75,2020-08-26,AAPL,40755567
76,2020-08-25,AAPL,52873947
77,2020-08-24,AAPL,86484442
78,2020-08-21,AAPL,84513660
79,2020-08-20,AAPL,31726797
80,2020-08-19,AAPL,36384502
81,2020-08-18,AAPL,26408385
82,2020-08-17,AAPL,29431414
83,2020-08-14,AAPL,41391302
84,2020-08-13,AAPL,52520516
85,2020-08-12,AAPL,41486205
86,2020-08-11,AAPL,46975594
87,2020-08-10,AAPL,53100856
88,2020-08-07,AAPL,49511403
89,2020-08-06,AAPL,50607225
90,2020-08-05,AAPL,30497988
91,2020-08-04,AAPL,43198092
92,2020-08-03,AAPL,77037847
93,2020-07-31,AAPL,93573867
94,2020-07-30,AAPL,39532505
95,2020-07-29,AAPL,22582314
96,2020-07-28,AAPL,25906375
97,2020-07-27,AAPL,30303548
98,2020-07-24,AAPL,46359716
99,2020-07-23,AAPL,49251108
100,2020-12-11,MSFT,30979440
101,2020-12-10,MSFT,26467017
102,2020-12-09,MSFT,32440603
103,2020-12-08,MSFT,23284094
104,2020-12-07,MSFT,24619997
105,2020-12-04,MSFT,24666039
106,2020-12-03,MSFT,25120922
107,2020-12-02,MSFT,23724509
108,2020-12-01,MSFT,30498026
109,2020-11-30,MSFT,33064753
110,2020-11-27,MSFT,14512213
111,2020-11-25,MSFT,21012887
112,2020-11-24,MSFT,33830438
113,2020-11-23,MSFT,25683507
114,2020-11-20,MSFT,22843119
115,2020-11-19,MSFT,24792746
116,2020-11-18,MSFT,28372789
117,2020-11-17,MSFT,24154112
118,2020-11-16,MSFT,24953344
119,2020-11-13,MSFT,18630307
120,2020-11-12,MSFT,21616115
121,2020-11-11,MSFT,29440788
122,2020-11-10,MSFT,44045120
123,2020-11-09,MSFT,44394950
124,2020-11-06,MSFT,25231895
125,2020-11-05,MSFT,36080137
126,2020-11-04,MSFT,42311777
127,2020-11-03,MSFT,27512030
128,2020-11-02,MSFT,30842163
129,2020-10-30,MSFT,36980111
130,2020-10-29,MSFT,31432563
131,2020-10-28,MSFT,51195593
132,2020-10-27,MSFT,36700325
133,2020-10-26,MSFT,37111561
134,2020-10-23,MSFT,18879608
135,2020-10-22,MSFT,22351450
136,2020-10-21,MSFT,22724906
137,2020-10-20,MSFT,22753511
138,2020-10-19,MSFT,27625841
139,2020-10-16,MSFT,26057882
140,2020-10-15,MSFT,22733064
141,2020-10-14,MSFT,23451713
142,2020-10-13,MSFT,28950843
143,2020-10-12,MSFT,40461368
144,2020-10-09,MSFT,26458047
145,2020-10-08,MSFT,19925837
146,2020-10-07,MSFT,25681054
147,2020-10-06,MSFT,28554261
148,2020-10-05,MSFT,21331561
149,2020-10-02,MSFT,33154781
150,2020-10-01,MSFT,27158418
151,2020-09-30,MSFT,33829088
152,2020-09-29,MSFT,24464472
153,2020-09-28,MSFT,32004936
154,2020-09-25,MSFT,29437312
155,2020-09-24,MSFT,31202493
156,2020-09-23,MSFT,30803780
157,2020-09-22,MSFT,33517065
158,2020-09-21,MSFT,39839657
159,2020-09-18,MSFT,55225326
160,2020-09-17,MSFT,34011257
161,2020-09-16,MSFT,26372464
162,2020-09-15,MSFT,21823942
163,2020-09-14,MSFT,30375768
164,2020-09-11,MSFT,33620073
165,2020-09-10,MSFT,35461514
166,2020-09-09,MSFT,45678986
167,2020-09-08,MSFT,52924330
168,2020-09-04,MSFT,59664072
169,2020-09-03,MSFT,58400288
170,2020-09-02,MSFT,34080839
171,2020-09-01,MSFT,25791235
172,2020-08-31,MSFT,28774156
173,2020-08-28,MSFT,26292896
174,2020-08-27,MSFT,57602195
175,2020-08-26,MSFT,39600828
176,2020-08-25,MSFT,23043696
177,2020-08-24,MSFT,25460147
178,2020-08-21,MSFT,36249319
179,2020-08-20,MSFT,26981478
180,2020-08-19,MSFT,27627561
181,2020-08-18,MSFT,21336167
182,2020-08-17,MSFT,20063496
183,2020-08-14,MSFT,17958936
184,2020-08-13,MSFT,22588870
185,2020-08-12,MSFT,28041364
186,2020-08-11,MSFT,36446459
187,2020-08-10,MSFT,36716462
188,2020-08-07,MSFT,27820421
189,2020-08-06,MSFT,32656843
190,2020-08-05,MSFT,28858621
191,2020-08-04,MSFT,49280056
192,2020-08-03,MSFT,78983009
193,2020-07-31,MSFT,51247969
194,2020-07-30,MSFT,25079596
195,2020-07-29,MSFT,19632602
196,2020-07-28,MSFT,23251388
197,2020-07-27,MSFT,30160867
198,2020-07-24,MSFT,39826989
199,2020-07-23,MSFT,67457035
200,2020-12-11,AMZN,3064695
201,2020-12-10,AMZN,3030186
202,2020-12-09,AMZN,4100836
203,2020-12-08,AMZN,3286303
204,2020-12-07,AMZN,2751316
205,2020-12-04,AMZN,2913611
206,2020-12-03,AMZN,2892039
207,2020-12-02,AMZN,3129304
208,2020-12-01,AMZN,4493554
209,2020-11-30,AMZN,4063916
210,2020-11-27,AMZN,2392867
211,2020-11-25,AMZN,3790403
212,2020-11-24,AMZN,3570889
213,2020-11-23,AMZN,4708887
214,2020-11-20,AMZN,3380138
215,2020-11-19,AMZN,3010270
216,2020-11-18,AMZN,2916836
217,2020-11-17,AMZN,3444735
218,2020-11-16,AMZN,3808676
219,2020-11-13,AMZN,3762587
220,2020-11-12,AMZN,4371208
221,2020-11-11,AMZN,4366923
222,2020-11-10,AMZN,6590956
223,2020-11-09,AMZN,7190406
224,2020-11-06,AMZN,4647330
225,2020-11-05,AMZN,5789285
226,2020-11-04,AMZN,6839041
227,2020-11-03,AMZN,4897880
228,2020-11-02,AMZN,7257350
229,2020-10-30,AMZN,8396081
230,2020-10-29,AMZN,6596529
231,2020-10-28,AMZN,5588330
232,2020-10-27,AMZN,4291047
233,2020-10-26,AMZN,5901151
234,2020-10-23,AMZN,3466687
235,2020-10-22,AMZN,4212005
236,2020-10-21,AMZN,4592736
237,2020-10-20,AMZN,4509678
238,2020-10-19,AMZN,5223626
239,2020-10-16,AMZN,6474353
240,2020-10-15,AMZN,5223448
241,2020-10-14,AMZN,5828916
242,2020-10-13,AMZN,5744697
